timestamp,uso_cpu,memoria
2024-10-01T10:53:13.609484,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:53:23.611112,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:53:33.615680,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:53:43.617830,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:53:53.619500,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:54:03.622228,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:54:13.624618,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:54:23.627328,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:54:33.630554,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:54:43.635584,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:54:53.637483,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:55:03.639605,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:55:13.642802,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:55:23.646525,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:55:33.651715,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:55:43.653720,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:55:53.656443,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:56:03.659335,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:56:13.661917,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:56:23.664154,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:56:33.666935,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:56:43.669837,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:56:53.672912,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:57:03.676869,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:57:13.678134,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:57:23.682271,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:57:33.683457,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:57:43.686855,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:57:53.689214,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:58:03.691003,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:58:13.693555,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:58:23.696061,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:58:33.698959,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:58:43.701985,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:58:53.705435,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T10:59:03.709970,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
